Module,TXT,RO,DATA,BSS,TOTAL,FatalCount,F3Count
modem_proc/sierra/ids/sierra_ids.lib/omc_postboot.o,4,0,0,0,4,0,0
modem_proc/sierra/ids/sierra_ids.lib/omc_progress.o,740,335,0,0,1075,0,0
modem_proc/sierra/ids/sierra_ids.lib/omc_string.o,68,97,0,0,165,0,0
modem_proc/sierra/ids/sierra_ids.lib/tman_add.o,3056,414,0,0,3470,0,0
modem_proc/sierra/ids/sierra_ids.lib/tman_delete.o,1488,231,0,0,1719,0,0
modem_proc/sierra/ids/sierra_ids.lib/tman_exec.o,156,161,0,0,317,0,0
modem_proc/sierra/ids/sierra_ids.lib/tman_find.o,140,138,0,0,278,0,0
modem_proc/sierra/ids/sierra_ids.lib/tman_moid.o,88,56,0,0,144,0,0
modem_proc/sierra/ids/sierra_ids.lib/trg_bootstrap.o,780,380,0,0,1160,0,0
modem_proc/sierra/ids/sierra_ids.lib/trg_debug.o,152,17,0,0,169,0,0
modem_proc/sierra/ids/sierra_ids.lib/trg_cmdline.o,472,414,0,0,886,1,1
modem_proc/sierra/ids/sierra_ids.lib/trg_time_id.o,28,0,0,0,28,0,0
modem_proc/sierra/ids/sierra_ids.lib/libmem.o,80,0,0,0,80,0,0
modem_proc/sierra/ids/sierra_ids.lib/libstr.o,76,0,0,0,76,0,0
modem_proc/sierra/ids/sierra_ids.lib/mgrcmdbuilder.o,836,237,0,0,1073,0,0
modem_proc/sierra/ids/sierra_ids.lib/mgrcmddispatcher.o,840,114,0,0,954,0,0
modem_proc/sierra/ids/sierra_ids.lib/mgrinstancelist.o,176,0,0,0,176,0,0
modem_proc/sierra/ids/sierra_ids.lib/mgrinstancemgr.o,1056,254,0,0,1310,0,0
modem_proc/sierra/ids/sierra_ids.lib/mgrutil.o,2196,776,0,0,2972,0,0
modem_proc/sierra/ids/sierra_ids.lib/xltdec.o,7788,432,0,0,8220,0,0
modem_proc/sierra/ids/sierra_ids.lib/xltdecwbxml.o,2724,0,0,0,2724,0,0
